Sample_Description_GEO,AD_Genotype,Trem2_Genotype,Sort_Strat_Num,Sorted_Pop,Plate_ID,GEO_ID
Trem2_WT_cd11c_plate#1,WT,WT,CD11c+,45+/11b+/11c+/gr1-,AB1737,GSM2629394
Trem2_AD_cd11c_plate#1,AD,WT,CD11c+,45+/11b+/11c+/gr1-,AB1738,GSM2629395
Trem2_AD_cd11c_plate#2,AD,WT,CD11c+,45+/11b+/11c+/gr1-,AB1739,GSM2629396
Trem2_KO_cd11c_plate#1,WT,KO,CD11c+,45+/11b+/11c+/gr1-,AB1740,GSM2629397
Trem2_KO_AD_cd11c_plate#1,AD,KO,CD11c+,45+/11b+/11c+/gr1-,AB1741,GSM2629398
Trem2_KO_AD_cd11c_plate#2,AD,KO,CD11c+,45+/11b+/11c+/gr1-,AB1742,GSM2629399
Trem2_KO_AD_cd11c_plate#3,AD,KO,CD11c+,45+/11b+/11c+/gr1-,AB1743,GSM2629400
Trem2_WT_plate#1,WT,WT,CD11C_ALL,45+/11b+/gr1-,AB1730,GSM2629387
Trem2_AD_plate#2,AD,WT,CD11C_ALL,45+/11b+/gr1-,AB1731,GSM2629388
Trem2_KO_plate#2,WT,KO,CD11C_ALL,45+/11b+/gr1-,AB1732,GSM2629389
Trem2_KO_plate#3,WT,KO,CD11C_ALL,45+/11b+/gr1-,AB1733,GSM2629390
Trem2_KO_AD_plate#1,AD,KO,CD11C_ALL,45+/11b+/gr1-,AB1734,GSM2629391
Trem2_KO_AD_plate#2,AD,KO,CD11C_ALL,45+/11b+/gr1-,AB1735,GSM2629392
Trem2_KO_AD_plate#3,AD,KO,CD11C_ALL,45+/11b+/gr1-,AB1736,GSM2629393
